// Co-polarized Raman gain spectrum for IDF fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
18.35	5.6681540E-04 
18.4	5.4676040E-04 
18.45	5.2625440E-04 
18.5	5.0525940E-04 
18.55	4.8431620E-04 
18.6	4.6415800E-04 
18.65	4.4509480E-04 
18.7	4.2704680E-04 
18.75	4.1037120E-04 
18.8	3.9472020E-04 
18.85	3.8021600E-04 
18.9	3.6694320E-04 
18.95	3.5487360E-04 
19	3.4390380E-04 
19.05	3.3397740E-04 
19.1	3.2496740E-04 
19.15	3.1665780E-04 
19.2	3.0880420E-04 
19.25	3.0169300E-04 
19.3	2.9530100E-04 
19.35	2.8950600E-04 
19.4	2.8420900E-04 
19.45	2.7929760E-04 
19.5	2.7461160E-04 
19.55	2.7025000E-04 
19.6	2.6610460E-04 
19.65	2.6213320E-04 
19.7	2.5834960E-04 
19.75	2.5501740E-04 
19.8	2.5207520E-04 
19.85	2.4949480E-04 
19.9	2.4717780E-04 
19.95	2.4493120E-04 
20	2.4274100E-04 
20.05	2.4070120E-04 
20.1	2.3879760E-04 
20.15	2.3696460E-04 
20.2	2.3521160E-04 
20.25	2.3358540E-04 
20.3	2.3206720E-04 
20.35	2.3052100E-04 
20.4	2.2889000E-04 
20.45	2.2715100E-04 
20.5	2.2535100E-04 
20.55	2.2358380E-04 
20.6	2.2187300E-04 
20.65	2.2031260E-04 
20.7	2.1888840E-04 
20.75	2.1749720E-04 
20.8	2.1606380E-04 
20.85	2.1471960E-04 
20.9	2.1349280E-04 
20.95	2.1229900E-04 
21	2.1124160E-04 
21.05	2.1015580E-04 
21.1	2.0898560E-04 
21.15	2.0774000E-04 
21.2	2.0660740E-04 
21.25	2.0554040E-04 
21.3	2.0448300E-04 
21.35	2.0336900E-04 
21.4	2.0216580E-04 
21.45	2.0093920E-04 
21.5	1.9972180E-04 
21.55	1.9854680E-04 
21.6	1.9733890E-04 
21.65	1.9606990E-04 
21.7	1.9462700E-04 
21.75	1.9305250E-04 
21.8	1.9163780E-04 
21.85	1.9051450E-04 
21.9	1.8987530E-04 
21.95	1.8953220E-04 
22	1.8920320E-04 
22.05	1.8859220E-04 
22.1	1.8791540E-04 
22.15	1.8733260E-04 
22.2	1.8696130E-04 
22.25	1.8666990E-04 
22.3	1.8646310E-04 
22.35	1.8632210E-04 
22.4	1.8615760E-04 
22.45	1.8607300E-04 
22.5	1.8609180E-04 
22.55	1.8617170E-04 
22.6	1.8641140E-04 
22.65	1.8688140E-04 
22.7	1.8750180E-04 
22.75	1.8829610E-04 
22.8	1.8957450E-04 
22.85	1.9183050E-04 
22.9	1.9519100E-04 
22.95	1.9931760E-04 
23	2.0391900E-04 
23.05	2.0868940E-04 
23.1	2.1408040E-04 
23.15	2.2080140E-04 
23.2	2.2864560E-04 
23.25	2.3736420E-04 
23.3	2.4656200E-04 
23.35	2.5595740E-04 
23.4	2.6541840E-04 
23.45	2.7510040E-04 
23.5	2.8537000E-04 
23.55	2.9571940E-04 
23.6	3.0558940E-04 
23.65	3.1465560E-04 
23.7	3.2265040E-04 
23.75	3.2969560E-04 
23.8	3.3619100E-04 
23.85	3.4197200E-04 
23.9	3.4629140E-04 
23.95	3.4904080E-04 
24	3.5023000E-04 
24.05	3.5005140E-04 
24.1	3.4922880E-04 
24.15	3.4807260E-04 
24.2	3.4606100E-04 
24.25	3.4339620E-04 
24.3	3.4016720E-04 
24.35	3.3664700E-04 
24.4	3.3318300E-04 
24.45	3.3003880E-04 
24.5	3.2726580E-04 
24.55	3.2411200E-04 
24.6	3.2048360E-04 
24.65	3.1669540E-04 
24.7	3.1339140E-04 
24.75	3.1042560E-04 
24.8	3.0744120E-04 
24.85	3.0395380E-04 
24.9	2.9969080E-04 
24.95	2.9473700E-04 
25	2.8899840E-04 
25.05	2.8189660E-04 
25.1	2.7354480E-04 
25.15	2.6427640E-04 
25.2	2.5448620E-04 
25.25	2.4432960E-04 
25.3	2.3380160E-04 
25.35	2.2276120E-04 
25.4	2.1131200E-04 
25.45	1.9974060E-04 
25.5	1.9153440E-04 
25.55	1.8306500E-04 
25.6	1.7455800E-04 
25.65	1.6603690E-04 
25.7	1.5764270E-04 
25.75	1.4937540E-04 
25.8	1.4129610E-04 
25.85	1.3346590E-04 
25.9	1.2600700E-04 
25.95	1.1904630E-04 
26	1.1259790E-04 
26.05	1.0654900E-04 
26.1	1.0087610E-04 
26.15	9.5602700E-05 
26.2	9.0752300E-05 
26.25	8.6353100E-05 
26.3	8.2419200E-05 
26.35	7.9016400E-05 
26.4	7.6191700E-05 
26.45	7.3968600E-05 
26.5	7.2083900E-05 
26.55	7.0509400E-05 
26.6	6.9202800E-05 
26.65	6.8093600E-05 
26.7	6.7083100E-05 
26.75	6.6096100E-05 
26.8	6.5019800E-05 
26.85	6.4089200E-05 
26.9	6.3379500E-05 
26.95	6.2862500E-05 
27	6.2430100E-05 
27.05	6.2049400E-05 
27.1	6.1701600E-05 
27.15	6.1438400E-05 
27.2	6.1302100E-05 
27.25	6.1283300E-05 
27.3	6.1222200E-05 
27.35	6.1057700E-05 
27.4	6.0686400E-05 
27.45	6.0164700E-05 
27.5	5.9628900E-05 
27.55	5.9088400E-05 
27.6	5.8632500E-05 
27.65	5.8209500E-05 
27.7	5.7795900E-05 
27.75	5.7387000E-05 
27.8	5.7039200E-05 
27.85	5.6761900E-05 
27.9	5.6555100E-05 
27.95	5.6282500E-05 
28	5.5934700E-05 
28.05	5.5530500E-05 
28.1	5.5121600E-05 
28.15	5.4693900E-05 
28.2	5.4252100E-05 
28.25	5.3791500E-05 
28.3	5.3392000E-05 
28.35	5.3091200E-05 
28.4	5.2954900E-05 
28.45	5.2903200E-05 
28.5	5.2837400E-05 
28.55	5.2734000E-05 
28.6	5.2644700E-05 
28.65	5.2588300E-05 
28.7	5.2564800E-05 
28.75	5.2597700E-05 
28.8	5.2715200E-05 
