// Co-polarized Raman gain spectrum for SMF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
1.4250E+13	7.34053E-04
1.4300E+13	7.34557E-04
1.4350E+13	7.35711E-04
1.4400E+13	7.37196E-04
1.4450E+13	7.54348E-04
1.4500E+13	7.73072E-04
1.4550E+13	7.85023E-04
1.4600E+13	7.68253E-04
1.4650E+13	7.43174E-04
1.4700E+13	7.13978E-04
1.4750E+13	6.90652E-04
1.4800E+13	6.65625E-04
1.4850E+13	6.37401E-04
1.4900E+13	6.06786E-04
1.4950E+13	5.71282E-04
1.5000E+13	5.29702E-04
1.5050E+13	4.95769E-04
1.5100E+13	4.60016E-04
1.5150E+13	4.25049E-04
1.5200E+13	3.93494E-04
1.5250E+13	3.70042E-04
1.5300E+13	3.50555E-04
1.5350E+13	3.33811E-04
1.5400E+13	3.20777E-04
1.5450E+13	3.11597E-04
1.5500E+13	3.02823E-04
1.5550E+13	2.94860E-04
1.5600E+13	2.86897E-04
1.5650E+13	2.78934E-04
1.5700E+13	2.72754E-04
1.5750E+13	2.66854E-04
1.5800E+13	2.60954E-04
1.5850E+13	2.55054E-04
1.5900E+13	2.49155E-04
1.5950E+13	2.44345E-04
1.6000E+13	2.40096E-04
1.6050E+13	2.35848E-04
1.6100E+13	2.31600E-04
1.6150E+13	2.27351E-04
1.6200E+13	2.23088E-04
1.6250E+13	2.18780E-04
1.6300E+13	2.14471E-04
1.6350E+13	2.10163E-04
1.6400E+13	2.05854E-04
1.6450E+13	2.01994E-04
1.6500E+13	1.99466E-04
1.6550E+13	1.96938E-04
1.6600E+13	1.94410E-04
1.6650E+13	1.91882E-04
1.6700E+13	1.89354E-04
1.6750E+13	1.86963E-04
1.6800E+13	1.85193E-04
1.6850E+13	1.83423E-04
1.6900E+13	1.81653E-04
1.6950E+13	1.79883E-04
1.7000E+13	1.78114E-04
1.7050E+13	1.76459E-04
1.7100E+13	1.75751E-04
1.7150E+13	1.75043E-04
1.7200E+13	1.74335E-04
1.7250E+13	1.73628E-04
1.7300E+13	1.74998E-04
1.7350E+13	1.76990E-04
1.7400E+13	1.78981E-04
1.7450E+13	1.80973E-04
1.7500E+13	1.82964E-04
1.7550E+13	1.84955E-04
1.7600E+13	1.86947E-04
1.7650E+13	1.90517E-04
1.7700E+13	1.94407E-04
1.7750E+13	1.98296E-04
1.7800E+13	2.03533E-04
1.7850E+13	2.12238E-04
1.7900E+13	2.21998E-04
1.7950E+13	2.34234E-04
1.8000E+13	2.47290E-04
1.8050E+13	2.53190E-04
1.8100E+13	2.59090E-04
1.8150E+13	2.62133E-04
1.8200E+13	2.61264E-04
1.8250E+13	2.56394E-04
1.8300E+13	2.50762E-04
1.8350E+13	2.45005E-04
1.8400E+13	2.37927E-04
1.8450E+13	2.30849E-04
1.8500E+13	2.23771E-04
1.8550E+13	2.15477E-04
