// Co-polarized Raman gain spectrum for SLA fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
19.45	8.0818000E-05
19.5	7.9462080E-05
19.55	7.8200000E-05
19.6	7.7000480E-05
19.65	7.5851280E-05
19.7	7.4756480E-05
19.75	7.3792240E-05
19.8	7.2940880E-05
19.85	7.2194240E-05
19.9	7.1523760E-05
19.95	7.0873680E-05
20	7.0239920E-05
20.05	6.9649680E-05
20.1	6.9098880E-05
20.15	6.8568480E-05
20.2	6.8061200E-05
20.25	6.7590640E-05
20.3	6.7151360E-05
20.35	6.6703920E-05
20.4	6.6232000E-05
20.45	6.5728800E-05
20.5	6.5207920E-05
20.55	6.4696560E-05
20.6	6.4201520E-05
20.65	6.3750000E-05
20.7	6.3337920E-05
20.75	6.2935360E-05
20.8	6.2520560E-05
20.85	6.2131600E-05
20.9	6.1776640E-05
20.95	6.1431200E-05
21	6.1125200E-05
21.05	6.0811040E-05
21.1	6.0472400E-05
21.15	6.0112000E-05
21.2	5.9784240E-05
21.25	5.9475520E-05
21.3	5.9169520E-05
21.35	5.8847200E-05
21.4	5.8499040E-05
21.45	5.8144080E-05
21.5	5.7791840E-05
21.55	5.7451840E-05
21.6	5.7102320E-05
21.65	5.6735120E-05
21.7	5.6317600E-05
21.75	5.5862000E-05
21.8	5.5452640E-05
21.85	5.5127600E-05
21.9	5.4942640E-05
21.95	5.4843360E-05
22	5.4748160E-05
22.05	5.4571360E-05
22.1	5.4375520E-05
22.15	5.4206880E-05
22.2	5.4099440E-05
22.25	5.4015120E-05
22.3	5.3955280E-05
22.35	5.3914480E-05
22.4	5.3866880E-05
22.45	5.3842400E-05
22.5	5.3847840E-05
22.55	5.3870960E-05
22.6	5.3940320E-05
22.65	5.4076320E-05
22.7	5.4255840E-05
22.75	5.4485680E-05
22.8	5.4855600E-05
22.85	5.5508400E-05
22.9	5.6480800E-05
22.95	5.7674880E-05
23	5.9006320E-05
23.05	6.0386720E-05
23.1	6.1946640E-05
23.15	6.3891440E-05
23.2	6.6161280E-05
23.25	6.8684080E-05
23.3	7.1345600E-05
23.35	7.4064240E-05
23.4	7.6801920E-05
23.45	7.9603520E-05
23.5	8.2575120E-05
23.55	8.5569840E-05
23.6	8.8425840E-05
23.65	9.1049280E-05
23.7	9.3362640E-05
23.75	9.5401280E-05
23.8	9.7280800E-05
23.85	9.8953600E-05
23.9	1.0020344E-04
23.95	1.0099904E-04
24	1.0134312E-04
24.05	1.0129144E-04
24.1	1.0105344E-04
24.15	1.0071888E-04
24.2	1.0013680E-04
24.25	9.9365680E-05
24.3	9.8431360E-05
24.35	9.7412720E-05
24.4	9.6410400E-05
